Algorithm QDigest is executed in 75ms for a set of 1000000 numbers
Algorithm TDigest is executed in 25958ms for a set of 1000000 numbers
Algorithm Codahale Reservoid is executed in 330ms for a set of 1000000 numbers
Percentile   QDigest   TDigest   Codahale Reservoir   Expect Value   
---------------------------------------------------------------------
1%           .00       .00       .00                  0.0            
2%           .00       .00       .00                  0.0            
3%           .00       .00       .00                  0.0            
4%           .00       .00       .00                  0.0            
5%           .00       .00       .00                  0.0            
6%           .00       .00       .00                  0.0            
7%           .00       .00       .00                  0.0            
8%           .00       .00       .00                  0.0            
9%           .00       .00       .61                  0.0            
10%          1.00      1.00      1.00                 1.0            
11%          1.00      1.00      1.00                 1.0            
12%          1.00      1.00      1.00                 1.0            
13%          1.00      1.00      1.00                 1.0            
14%          1.00      1.00      1.00                 1.0            
15%          1.00      1.00      1.00                 1.0            
16%          1.00      1.00      1.00                 1.0            
17%          1.00      1.00      1.00                 1.0            
18%          1.00      1.00      2.00                 1.0            
19%          2.00      2.00      2.00                 2.0            
20%          2.00      2.00      2.00                 2.0            
21%          2.00      2.00      2.00                 2.0            
22%          2.00      2.00      2.00                 2.0            
23%          2.00      2.00      2.00                 2.0            
24%          2.00      2.00      2.00                 2.0            
25%          2.00      2.00      2.00                 2.0            
26%          2.00      2.00      2.00                 2.0            
27%          2.00      2.00      3.00                 2.0            
28%          2.00      2.00      3.00                 2.0            
29%          3.00      3.00      3.00                 3.0            
30%          3.00      3.00      3.00                 3.0            
31%          3.00      3.00      3.00                 3.0            
32%          3.00      3.00      3.00                 3.0            
33%          3.00      3.00      3.00                 3.0            
34%          3.00      3.00      3.00                 3.0            
35%          3.00      3.00      3.00                 3.0            
36%          3.00      3.00      3.00                 3.0            
37%          3.00      3.00      4.00                 3.0            
38%          4.00      4.00      4.00                 4.0            
39%          4.00      4.00      4.00                 4.0            
40%          4.00      4.00      4.00                 4.0            
41%          4.00      4.00      4.00                 4.0            
42%          4.00      4.00      4.00                 4.0            
43%          4.00      4.00      4.00                 4.0            
44%          4.00      4.00      4.00                 4.0            
45%          4.00      4.00      4.00                 4.0            
46%          4.00      4.00      5.00                 4.0            
47%          4.00      4.00      6.00                 4.0            
48%          5.00      5.00      6.00                 5.0            
49%          6.00      6.00      7.00                 6.0            
50%          7.00      7.00      8.00                 7.0            
51%          7.00      7.00      9.00                 7.0            
52%          8.00      8.00      9.00                 8.0            
53%          9.00      9.00      10.00                9.0            
54%          9.00      9.00      11.00                9.0            
55%          10.00     10.00     12.00                10.0           
56%          11.00     11.00     12.00                11.0           
57%          12.00     12.00     13.00                12.0           
58%          12.00     12.00     14.00                12.0           
59%          13.00     13.00     14.00                13.0           
60%          14.00     14.00     15.00                14.0           
61%          14.00     14.00     15.00                14.0           
62%          15.00     15.00     16.00                15.0           
63%          16.00     16.00     17.00                16.0           
64%          17.00     17.00     17.56                17.0           
65%          17.00     17.00     18.00                17.0           
66%          18.00     18.00     19.00                18.0           
67%          19.00     19.00     20.43                19.0           
68%          19.00     19.32     23.00                19.0           
69%          22.00     22.00     25.01                22.0           
70%          24.00     25.08     28.00                24.0           
71%          27.00     27.00     30.00                27.0           
72%          29.00     29.23     34.00                29.0           
73%          32.00     32.00     36.00                32.0           
74%          34.00     34.11     38.00                34.0           
75%          37.00     37.00     41.00                37.0           
76%          39.00     39.43     43.04                39.0           
77%          42.00     42.00     45.33                42.0           
78%          44.00     44.42     48.00                44.0           
79%          47.00     47.00     49.91                47.0           
80%          49.00     49.25     53.00                49.0           
81%          52.00     52.00     55.00                52.0           
82%          55.00     53.42     56.00                55.0           
83%          57.00     57.00     59.00                57.0           
84%          60.00     60.00     62.36                60.0           
85%          62.00     62.00     64.00                62.0           
86%          64.00     64.08     67.00                64.0           
87%          67.00     67.00     69.00                67.0           
88%          69.00     69.39     71.00                69.0           
89%          72.00     72.00     73.00                72.0           
90%          74.00     74.48     76.00                74.0           
91%          77.00     77.00     77.00                77.0           
92%          79.00     79.00     80.00                79.0           
93%          82.00     82.00     82.97                82.0           
94%          84.00     84.00     85.00                84.0           
95%          87.00     87.00     87.00                87.0           
96%          89.00     89.00     90.00                89.0           
97%          92.00     92.00     93.00                92.0           
98%          95.00     95.00     95.00                95.0           
99%          97.00     97.00     97.00                97.0           
100%         99.00     99.00     99.00                1.0            


